contentId,id,addr1,addr2
25022,2746186,대전광역시 중구 ,대전광역시 중구 문창로10번길
25023,2746187,충청남도 서천군 ,충청남도 서천군 비인면
25024,2746192,대전광역시 유성구 ,대전광역시 유성구 구즉로
25025,2746200,경기도 하남시 ,경기도 하남시 미사강변한강로
25026,2746205,충청남도 당진시 ,충청남도 당진시 송악읍
25027,2746219,강원도 영월군 ,강원도 영월군 영월읍
25028,2746220,강원도 영월군 ,강원도 영월군 한반도면
25029,2746221,충청남도 당진시 ,충청남도 당진시 석문면
25030,2746222,충청남도 당진시 ,충청남도 당진시 신평면
25031,2746228,충청남도 당진시 ,충청남도 당진시 신평면
25032,2746237,충청남도 서천군 ,충청남도 서천군 장항읍
25033,2746244,경기도 평택시 ,경기도 평택시 서탄면
25034,2746257,경기도 평택시 ,경기도 평택시 팽성읍
25035,2746261,경기도 평택시 ,경기도 평택시 비전동
25036,2746268,제주특별자치도 제주시 ,제주특별자치도 제주시 조천읍
25037,2746270,경기도 평택시 ,경기도 평택시 고덕면
25038,2746304,경기도 평택시 ,경기도 평택시 지산동
25039,2746329,경기도 평택시 ,경기도 평택시 오성면
25040,2746340,경기도 평택시 ,경기도 평택시 포승읍
25041,2746351,경기도 평택시 ,경기도 평택시 현덕면
25042,2746352,경상남도 합천군 ,경상남도 합천군 용주면
25043,2746354,경기도 용인시 ,경기도 용인시 처인구
25044,2746365,경기도 평택시 ,경기도 평택시 진위면
25045,2746372,경기도 용인시 ,경기도 용인시 처인구
25046,2746373,대구광역시 달성군 ,대구광역시 달성군 가창면
25047,2746376,대구광역시 중구 ,대구광역시 중구 동성로
25048,2746378,경기도 용인시 ,경기도 용인시 기흥구
25049,2746381,대구광역시 북구 ,대구광역시 북구 연암공원로20길
25050,2746387,경상남도 합천군 ,경상남도 합천군 용주면
25051,2746390,경기도 용인시 ,경기도 용인시 처인구
25052,2746399,경상남도 합천군 ,경상남도 합천군 가회면
25053,2746431,경기도 용인시 ,경기도 용인시 처인구
25054,2746451,경기도 용인시 ,경기도 용인시 처인구
25055,2746543,경상남도 창녕군 ,경상남도 창녕군 남지읍
25056,2746554,경상남도 하동군 ,경상남도 하동군 악양면
