accommodation_id, accommodation_name,accommodation_type,accommodation_addr,accommodation_score,accommodation_img, accommodation_price,accommodation_lat,accommodation_lng
125266,횡성 네이처스힐펜션,펜션,웰리힐리파크 차량 13분,9.8,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"180,000원",37.494349162465,128.23914965206
125266,횡성 캐빈타운 펜션,펜션,평창보타닉가든 차량 7분,7.8,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"145,000원",37.498444667315,128.24285795576
125266,횡성 산들독채펜션,펜션,웰리힐리파크 차량 13분,10.0,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"500,000
450,000원",37.46197869476,128.18998735954
125266,횡성 겨울여행펜션,펜션,웰리힐리파크 차량 7분,9.7,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"170,000원",37.502698138138,128.23149641178
125266,횡성 노섬브리아펜션,펜션,웰리힐리파크 차량 16분,8.5,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"150,000원",37.508701330231,128.25710187299
125266,횡성 청태산힐링펜션,펜션,태기산 차량 25분,6.4,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"230,000원",37.521642221055,128.25567497731
125266,산천토담집,펜션,웰리힐리파크 차량 3분,8.4,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"70,000원",37.496714412588,128.24700172947
125266,횡성 숲속의바이올린펜션,펜션,둔내역강릉선 차량 7분,8.6,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"170,000원",37.497883944955,128.24241839383
125266,횡성 꿈속에그린펜션,펜션,웰리힐리파크 차량 9분,7.8,https://image.goodchoice.kr/images/web_v3/bg_trans.png,"110,000원",37.493421347823,128.25674369543
id,accommodation_name,accommodation_type,accommodation_addr,accommodation_score,accommodation_pic,accommodation_price,accommodation_lat,accommodation_lng
125405,경주 댕바우,모텔,경북 경주시 양북면 봉길리,9.1,https://image.goodchoice.kr/resize_1000X500x0/adimg_new/58568/9858/7c8f70392aec47c9e43c6bbaf568199e.jpg,"15시부터 입실
 숙박빠른입실예약 100,000원",35.737555474422,129.48337587686
id,accommodation_name,accommodation_type,accommodation_addr,accommodation_score,accommodation_pic,accommodation_price,accommodation_lat,accommodation_lng
125406,현풍 히든,모텔,대구 달성군 유가읍 유곡리,9.4,https://image.goodchoice.kr/resize_1000X500x0/adimg_new/5345/31934/80377efcecdaaeadc0952558213fe9b0.jpg,"15시부터 입실
 숙박빠른입실예약 55,000원",35.670306826328,128.44972046842
